total cost: 22105.7000000009
2 14104 0.13
3 79156 0.18
4 19260 0.14
5 60018 0.43
6 93609 0.63
7 97622 0.21
8 99580 0.52
9 61740 0.02
10 59986 0.12
11 4806 0.16
12 71085 0.28
13 7892 0.1
14 85079 0.49
15 85458 0.07
16 8247 0.43
17 9604 0.16
18 4104 0.25
19 46 0.32
20 74389 0.12
21 27440 0.02
22 82103 0.34
23 80994 0.21
24 86135 0.15
25 3547 0.09
26 58178 0.09
27 94244 0.07
28 45709 0.42
29 65649 0.22
30 29572 0.34
31 39631 0.6
32 82790 0.02
33 88152 0.35
34 27822 0.24
35 7993 0.01
36 2650 0.19
37 79435 0.22
38 40270 0.04
39 4972 0.13
40 27549 0.4
41 50002 0.43
42 86578 0.13
43 79723 0.24
44 28448 0.32
45 16794 0.12
46 55275 0.17
47 16127 0.09
48 19169 0.35
49 73996 0.41
50 82993 0.17
51 89 0.28
52 64785 0.22
53 94805 0.19
54 55131 0.17
55 13884 0.31
56 82321 0.07
57 61743 0.26
58 13866 0.59
59 40044 0.11
60 60841 0.06
61 84347 0.05
62 24325 0.09
63 6012 0.19
64 74512 0.17
65 35076 0.21
66 18007 0.25
67 84110 0.01
68 75338 0.17
69 62795 0.28
70 55043 0.41
71 90278 0.18
72 76843 0.21
73 99283 0.12
74 86189 0.65
75 33917 0.39
76 22900 0.09
77 49300 0.19
78 38543 0.42
79 64189 0.33
80 62155 0.06
81 11372 0.09
82 96103 0.09
83 74660 0.16
84 23716 0.09
85 4967 0.13
86 35873 0.21
87 98647 0.42
88 36283 0.34
89 86213 0.08
90 65436 0.54
91 98159 0.04
92 55216 0.18
93 82482 0.13
94 8619 0.67
95 63856 0.25
96 75327 0.4
97 32384 0.07
98 45307 0.22
99 57471 0.03
100 33686 0.1
101 30701 0.49
102 2097 0.36
103 98646 0.89
104 31256 0.28
105 86538 0.47
106 34134 0.19
107 75064 0.04
108 37558 0.13
109 52294 0.08
110 80998 0.27
111 39133 0.3
112 92883 0.1
113 52502 0.37
114 3593 0.13
115 14350 0.36
116 32298 0.07
117 2289 0.17
118 18328 0.39
119 38617 0.65
120 63192 0.25
121 20557 0.2
122 25103 0.36
123 63591 0.01
124 88454 0.14
125 84964 0.47
126 33266 0.29
127 64026 0.08
128 14205 0.14
129 44094 0.16
130 20870 0.26
131 54118 0
132 4118 0.19
133 67748 0.3
134 69711 0.24
135 7712 0.08
136 39264 0.08
137 76868 0.1
138 92525 0.13
139 77577 1.12
140 69291 0.07
141 62889 0.04
142 18571 0.23
143 87856 0.02
144 70820 0.34
145 47108 0.29
146 93935 0.29
147 60138 0.33
148 53842 0.72
149 77171 0.29
150 76124 0.24
151 25868 0.1
152 54058 0.23
153 57245 0.31
154 3687 0.08
155 21727 0.03
156 45113 0.57
157 66092 0.18
158 49476 0.15
159 95122 0.41
160 42488 0.29
161 78481 0.01
162 96971 0.25
163 52567 0.02
164 8299 0.19
165 58424 0.34
166 55411 0.11
167 75994 0.02
168 91337 0.12
169 20826 0.15
170 50677 0.13
171 8275 0.34
172 45699 0.02
173 38713 0.08
174 4408 0.02
175 28150 0.01
176 15835 0.12
177 42327 0.21
178 93879 0.22
179 65458 0.03
180 71205 0.58
181 12468 0.08
182 70842 0.17
183 14863 0.23
184 14136 0.24
185 25011 0.1
186 31661 0.29
187 63141 0.21
188 92036 0.27
189 98043 0.08
190 66933 0.35
191 78525 0.26
192 52577 0.11
193 20470 0.17
194 9797 0.16
195 62634 0
196 7417 0.12
197 16076 0.18
198 51352 0.28
199 66780 0.24
200 59465 0.01
201 14260 0.35
202 58223 0.02
203 78280 0.12
204 51061 0.09
205 35391 0.63
206 19770 0.04
207 642 0.06
208 94075 0.24
209 33092 0.17
210 92161 0.32
211 43490 0.07
212 77872 0.02
213 11572 0.11
214 57396 0.18
215 56918 0.33
216 34488 0.06
217 11554 0.14
218 78728 0.16
219 13731 0.26
220 6365 0.13
221 97386 0.2
222 87303 0.23
223 14946 0.06
224 41859 0.39
225 84984 0.03
226 18616 0.12
227 25859 0.02
228 93903 0.11
229 56188 0.18
230 65883 0.11
231 22695 0.09
232 75891 0.04
233 708 0.18
234 15697 0.03
235 16062 0.17
236 12432 0.04
237 66151 0.42
238 98109 0.52
239 39870 0.15
240 99900 0.2
241 14430 0.23
242 11371 0.21
243 62046 0.1
244 85901 0.15
245 20993 0.25
246 62705 0.22
247 26168 0
248 26514 0.06
249 34228 0.2
250 26218 0.26
251 43275 0.33
252 85446 0.15
253 54670 0.32
254 93264 0
255 53949 0.23
256 81058 0.1
257 64791 0.26
258 73477 0.33
259 9256 0.63
260 69523 0.15
261 22387 0.27
262 68461 0.69
263 71891 0.26
264 55362 0.44
265 11915 0.11
266 11862 0.14
267 82958 0.46
268 52852 0.32
269 90329 0.14
270 44765 0.14
271 49660 0.21
272 24976 0.01
273 4506 0.44
274 89198 0.45
275 67941 0.03
276 10060 0.16
277 35060 0.26
278 25724 0.11
279 39614 0.25
280 79344 0.35
281 53088 0.23
282 36568 0.26
283 89084 0.8
284 85837 0.2
285 94711 0.21
286 65372 0.23
287 7517 0.15
288 41125 0.36
289 52236 0.22
